,owners
21722,0-20000
46482,0-20000
2525,200000-500000
27124,0-20000
41634,0-20000
28840,0-20000
35384,0-20000
916,>1000000
7211,50000-100000
31541,0-20000
874,>1000000
4181,100000-200000
19757,0-20000
58281,0-20000
33637,0-20000
12318,20000-50000
42146,0-20000
40716,0-20000
3065,200000-500000
13013,20000-50000
51107,0-20000
10519,50000-100000
53765,0-20000
56705,0-20000
5127,100000-200000
3008,200000-500000
4934,100000-200000
35065,0-20000
13879,20000-50000
30834,0-20000
49663,0-20000
26963,0-20000
50246,0-20000
14683,20000-50000
43449,0-20000
16823,20000-50000
7617,50000-100000
31090,0-20000
16902,20000-50000
18344,20000-50000
33985,0-20000
41931,0-20000
50170,0-20000
25778,0-20000
12774,20000-50000
16682,20000-50000
1288,500000-1000000
45864,0-20000
8140,50000-100000
11221,20000-50000
41422,0-20000
8423,50000-100000
6871,50000-100000
56654,0-20000
44424,0-20000
24052,0-20000
52141,0-20000
35749,0-20000
14571,20000-50000
42869,0-20000
51972,0-20000
5935,100000-200000
52385,0-20000
18117,20000-50000
26446,0-20000
29930,0-20000
5721,100000-200000
19950,0-20000
5761,100000-200000
23449,0-20000
38216,0-20000
44232,0-20000
59037,0-20000
55969,0-20000
25909,0-20000
25229,0-20000
15647,20000-50000
5535,100000-200000
36067,0-20000
26885,0-20000
9585,50000-100000
684,>1000000
31268,0-20000
30682,0-20000
12905,20000-50000
35647,0-20000
1050,500000-1000000
58098,0-20000
42221,0-20000
21605,0-20000
54730,0-20000
21642,0-20000
30025,0-20000
51727,0-20000
43800,0-20000
47054,0-20000
32466,0-20000
15880,20000-50000
40207,0-20000
9257,50000-100000
38889,0-20000
40650,0-20000
10923,20000-50000
30770,0-20000
36672,0-20000
39728,0-20000
43121,0-20000
17162,20000-50000
58579,0-20000
6980,50000-100000
3438,200000-500000
51794,0-20000
38177,0-20000
4905,100000-200000
34985,0-20000
41116,0-20000
5159,100000-200000
51997,0-20000
1106,500000-1000000
24344,0-20000
3548,200000-500000
22136,0-20000
22653,0-20000
52402,0-20000
57297,0-20000
55568,0-20000
55681,0-20000
54243,0-20000
18770,0-20000
10500,50000-100000
29375,0-20000
20949,0-20000
52441,0-20000
47362,0-20000
20039,0-20000
33028,0-20000
21613,0-20000
1811,500000-1000000
50703,0-20000
39357,0-20000
51236,0-20000
56747,0-20000
38628,0-20000
42099,0-20000
17046,20000-50000
10386,50000-100000
33508,0-20000
47571,0-20000
6386,100000-200000
42864,0-20000
26884,0-20000
17958,20000-50000
26721,0-20000
18682,0-20000
15352,20000-50000
16991,20000-50000
14351,20000-50000
8915,50000-100000
17372,20000-50000
30345,0-20000
53952,0-20000
38509,0-20000
51293,0-20000
46790,0-20000
12251,20000-50000
37946,0-20000
7629,50000-100000
12537,20000-50000
3689,200000-500000
923,>1000000
10702,20000-50000
35670,0-20000
31156,0-20000
27337,0-20000
56150,0-20000
20531,0-20000
43695,0-20000
5097,100000-200000
30559,0-20000
32031,0-20000
3133,200000-500000
17497,0-20000
51763,0-20000
18007,20000-50000
47462,0-20000
40692,0-20000
15734,20000-50000
11672,20000-50000
45357,0-20000
7047,50000-100000
24492,0-20000
23763,0-20000
20280,0-20000
13737,20000-50000
35617,0-20000
55006,0-20000
19328,0-20000
20498,0-20000
49249,0-20000
53149,0-20000
42955,0-20000
32897,0-20000
27196,0-20000
41873,0-20000
51606,0-20000
35627,0-20000
47839,0-20000
24338,0-20000
45703,0-20000
3819,0-20000
21404,0-20000
34788,0-20000
18345,20000-50000
7138,50000-100000
31512,0-20000
14899,20000-50000
44383,0-20000
4241,100000-200000
52420,0-20000
8149,50000-100000
2314,200000-500000
29931,0-20000
6434,100000-200000
36450,0-20000
15380,20000-50000
3695,200000-500000
13298,20000-50000
58669,0-20000
52303,0-20000
39169,0-20000
20249,0-20000
23164,0-20000
17098,20000-50000
28348,0-20000
41299,0-20000
46087,0-20000
18409,0-20000
56014,0-20000
50640,0-20000
18392,0-20000
14259,20000-50000
59012,0-20000
15423,20000-50000
37765,0-20000
34402,0-20000
34595,0-20000
25171,0-20000
35114,0-20000
9703,50000-100000
33898,0-20000
49674,0-20000
58965,0-20000
3220,200000-500000
37232,0-20000
57896,0-20000
9278,50000-100000
53258,0-20000
29049,0-20000
33699,0-20000
28437,0-20000
54198,0-20000
50366,0-20000
49274,0-20000
12891,20000-50000
25606,0-20000
31501,0-20000
55615,0-20000
22014,0-20000
57062,0-20000
10287,50000-100000
56724,0-20000
12492,20000-50000
35737,0-20000
13192,0-20000
36658,0-20000
29827,0-20000
10876,20000-50000
51494,0-20000
42384,0-20000
16327,20000-50000
32856,0-20000
54859,0-20000
54755,0-20000
16460,20000-50000
11736,20000-50000
10142,50000-100000
44980,0-20000
9610,50000-100000
43891,0-20000
40354,0-20000
50930,0-20000
15743,20000-50000
35390,0-20000
10805,20000-50000
14747,20000-50000
23162,0-20000
15218,20000-50000
24964,0-20000
14996,20000-50000
11680,20000-50000
55679,0-20000
57370,0-20000
5824,100000-200000
14671,20000-50000
13968,20000-50000
37126,0-20000
10932,20000-50000
1550,500000-1000000
36647,0-20000
31015,0-20000
34783,0-20000
54394,0-20000
50003,0-20000
24155,0-20000
46340,0-20000
41360,0-20000
56294,0-20000
2774,200000-500000
47855,0-20000
58793,0-20000
52797,0-20000
1390,500000-1000000
58702,0-20000
33543,0-20000
4695,100000-200000
58833,0-20000
41523,0-20000
33657,0-20000
31788,0-20000
58026,0-20000
25613,0-20000
17504,20000-50000
12694,20000-50000
25658,0-20000
16031,20000-50000
40417,0-20000
27989,0-20000
56847,0-20000
8078,50000-100000
56547,0-20000
21566,0-20000
44715,0-20000
44630,0-20000
39809,0-20000
33854,0-20000
29132,0-20000
44319,0-20000
32275,0-20000
7587,50000-100000
38872,0-20000
15962,20000-50000
29299,0-20000
25255,0-20000
19229,0-20000
2655,200000-500000
17962,20000-50000
43224,0-20000
43180,0-20000
52917,0-20000
52692,0-20000
43185,0-20000
37882,0-20000
23933,0-20000
7707,50000-100000
52384,0-20000
48675,0-20000
16288,20000-50000
35661,0-20000
7029,50000-100000
25921,0-20000
24451,0-20000
35423,0-20000
28762,0-20000
58188,0-20000
14786,0-20000
10641,20000-50000
7071,50000-100000
24498,0-20000
55212,0-20000
1716,500000-1000000
12687,20000-50000
52120,0-20000
40617,0-20000
34795,0-20000
52124,0-20000
51799,0-20000
49229,0-20000
4568,100000-200000
14270,20000-50000
53992,0-20000
45961,0-20000
57685,0-20000
54306,0-20000
25075,0-20000
13005,20000-50000
6590,100000-200000
4754,100000-200000
26438,0-20000
10640,20000-50000
1916,500000-1000000
638,>1000000
26590,0-20000
46241,0-20000
30122,0-20000
8959,50000-100000
38782,0-20000
3717,200000-500000
57580,0-20000
33451,0-20000
32749,0-20000
35506,0-20000
49528,0-20000
28565,0-20000
35403,0-20000
8760,50000-100000
51338,0-20000
10175,50000-100000
19744,0-20000
56978,0-20000
9827,50000-100000
35196,0-20000
18284,20000-50000
25162,0-20000
5950,100000-200000
45067,0-20000
55117,0-20000
24478,0-20000
29678,0-20000
39650,0-20000
41346,0-20000
31344,0-20000
44293,0-20000
25359,0-20000
20031,0-20000
17662,20000-50000
11232,20000-50000
45318,0-20000
45877,0-20000
41459,0-20000
3029,200000-500000
42210,0-20000
2307,200000-500000
13063,20000-50000
8164,50000-100000
29194,0-20000
44093,0-20000
54034,0-20000
19775,0-20000
30127,0-20000
51820,0-20000
37817,0-20000
28809,0-20000
8019,50000-100000
4750,100000-200000
18707,0-20000
16481,20000-50000
29455,0-20000
59025,0-20000
46837,0-20000
53921,0-20000
39326,0-20000
835,>1000000
19616,0-20000
52396,0-20000
7393,50000-100000
8063,50000-100000
26084,0-20000
41734,0-20000
25718,0-20000
22852,0-20000
58273,0-20000
33856,0-20000
27854,0-20000
17266,20000-50000
53973,0-20000
29736,0-20000
10854,20000-50000
17459,20000-50000
16664,20000-50000
29964,0-20000
18089,20000-50000
49611,0-20000
56620,0-20000
33411,0-20000
9824,50000-100000
2504,200000-500000
36493,0-20000
75,>1000000
26392,0-20000
947,>1000000
22661,0-20000
47285,0-20000
54803,0-20000
16847,20000-50000
11732,20000-50000
8470,50000-100000
29779,0-20000
24105,0-20000
8133,50000-100000
44841,0-20000
28431,0-20000
3749,20000-50000
27768,0-20000
38664,0-20000
10843,20000-50000
24388,0-20000
48908,0-20000
40750,0-20000
13463,20000-50000
42769,0-20000
6561,100000-200000
45427,0-20000
17103,20000-50000
48575,0-20000
50513,0-20000
6280,100000-200000
5399,100000-200000
6366,100000-200000
57300,0-20000
46088,0-20000
10658,20000-50000
40885,0-20000
31294,0-20000
57002,0-20000
38065,0-20000
18500,0-20000
32852,0-20000
58030,0-20000
22437,0-20000
54932,0-20000
11255,20000-50000
44892,0-20000
56418,0-20000
55582,0-20000
22599,0-20000
8756,50000-100000
23597,0-20000
52634,0-20000
10202,50000-100000
28667,0-20000
12994,20000-50000
48264,0-20000
51931,0-20000
54930,0-20000
33056,0-20000
55339,0-20000
12386,50000-100000
21586,0-20000
20956,0-20000
22674,0-20000
45785,0-20000
26861,0-20000
41921,0-20000
25904,0-20000
29152,0-20000
31386,0-20000
46665,0-20000
38420,0-20000
36022,0-20000
31682,0-20000
8666,50000-100000
53064,0-20000
49056,0-20000
47343,0-20000
31091,0-20000
25070,0-20000
13167,20000-50000
23395,0-20000
41555,0-20000
24012,0-20000
34540,0-20000
56351,0-20000
56358,0-20000
18613,0-20000
23735,0-20000
25890,0-20000
3114,200000-500000
19069,0-20000
7661,50000-100000
57126,20000-50000
18587,0-20000
29434,0-20000
49748,0-20000
15858,20000-50000
5703,100000-200000
14978,20000-50000
44308,0-20000
39390,0-20000
9722,>1000000
17097,20000-50000
55605,0-20000
1001,>1000000
32685,0-20000
17507,20000-50000
13657,20000-50000
52391,0-20000
13460,20000-50000
1326,500000-1000000
42023,0-20000
44827,0-20000
4814,100000-200000
56094,0-20000
21779,0-20000
5957,100000-200000
2217,200000-500000
18937,0-20000
2943,200000-500000
34163,0-20000
58753,0-20000
32898,0-20000
37513,0-20000
11639,20000-50000
28569,0-20000
5961,100000-200000
7906,50000-100000
26143,0-20000
8452,50000-100000
56713,0-20000
57020,0-20000
27500,0-20000
17273,20000-50000
38698,0-20000
46186,0-20000
13840,20000-50000
12455,20000-50000
51898,0-20000
41028,0-20000
21834,0-20000
31714,0-20000
54290,0-20000
29541,0-20000
50818,0-20000
45714,0-20000
29683,0-20000
18493,0-20000
12961,20000-50000
36363,0-20000
53368,0-20000
53994,20000-50000
49762,0-20000
28119,0-20000
22094,0-20000
45101,0-20000
27499,0-20000
21011,0-20000
4415,100000-200000
19942,0-20000
42373,0-20000
56045,0-20000
15786,20000-50000
51524,0-20000
16395,20000-50000
39691,0-20000
44579,0-20000
11823,20000-50000
1552,500000-1000000
52138,0-20000
48421,0-20000
26386,0-20000
28262,0-20000
19034,0-20000
15240,20000-50000
38483,0-20000
37013,0-20000
17161,20000-50000
18719,0-20000
14524,0-20000
56738,0-20000
28436,0-20000
22030,0-20000
18977,0-20000
36798,0-20000
16424,20000-50000
19725,0-20000
29113,0-20000
21081,0-20000
22067,0-20000
7991,0-20000
13983,20000-50000
22422,0-20000
27060,0-20000
24074,0-20000
48767,0-20000
32310,0-20000
55658,0-20000
32851,0-20000
47896,0-20000
4347,100000-200000
42447,0-20000
52092,0-20000
13666,20000-50000
16372,20000-50000
38182,0-20000
51664,0-20000
15368,20000-50000
39752,0-20000
13166,50000-100000
2622,200000-500000
50391,0-20000
25002,0-20000
47392,0-20000
15442,20000-50000
10030,50000-100000
37799,0-20000
53276,0-20000
32314,0-20000
43787,0-20000
37717,0-20000
3268,200000-500000
13148,20000-50000
35503,0-20000
6460,100000-200000
25197,0-20000
1674,500000-1000000
6299,200000-500000
56479,0-20000
43992,0-20000
44617,0-20000
9549,50000-100000
48648,0-20000
34004,0-20000
46823,0-20000
19191,0-20000
22748,0-20000
52643,0-20000
4960,100000-200000
31671,0-20000
22834,0-20000
5448,100000-200000
34165,0-20000
18156,20000-50000
17660,20000-50000
39340,0-20000
55777,0-20000
23890,0-20000
30369,0-20000
4744,100000-200000
41207,0-20000
47579,0-20000
17926,20000-50000
35598,0-20000
4985,100000-200000
45910,0-20000
21399,0-20000
39708,0-20000
14584,20000-50000
52537,0-20000
53075,0-20000
31462,0-20000
33883,0-20000
42712,0-20000
39572,0-20000
31935,0-20000
37861,0-20000
46314,0-20000
32999,0-20000
41507,0-20000
18055,20000-50000
16892,20000-50000
8084,50000-100000
47108,0-20000
18339,20000-50000
24445,0-20000
16848,20000-50000
30190,0-20000
51985,0-20000
54086,0-20000
33298,0-20000
15511,20000-50000
53128,0-20000
41839,0-20000
19435,0-20000
38896,0-20000
37968,0-20000
8002,50000-100000
18177,20000-50000
28903,0-20000
8251,50000-100000
54600,0-20000
11445,20000-50000
57879,0-20000
4684,100000-200000
51588,0-20000
11780,20000-50000
20903,0-20000
1529,500000-1000000
23486,0-20000
30511,0-20000
49542,0-20000
12606,20000-50000
57304,0-20000
3234,200000-500000
45516,0-20000
22792,0-20000
48029,0-20000
31429,0-20000
15842,20000-50000
43017,0-20000
21763,0-20000
35086,0-20000
53542,0-20000
23892,0-20000
45607,0-20000
21632,20000-50000
42501,0-20000
42679,0-20000
19916,0-20000
8826,50000-100000
54360,0-20000
4368,100000-200000
47232,0-20000
52794,0-20000
50590,0-20000
7909,50000-100000
51042,0-20000
48660,0-20000
52398,0-20000
3429,200000-500000
43940,0-20000
35089,0-20000
18059,20000-50000
31951,0-20000
32123,0-20000
44262,0-20000
45823,0-20000
33429,0-20000
20857,0-20000
31701,0-20000
36855,0-20000
18911,0-20000
1520,500000-1000000
7025,50000-100000
43641,0-20000
53201,0-20000
40308,0-20000
55876,0-20000
23706,0-20000
33750,0-20000
58358,0-20000
46939,0-20000
30733,0-20000
19760,0-20000
10913,20000-50000
44138,0-20000
1159,500000-1000000
40142,0-20000
43115,0-20000
27007,0-20000
52866,0-20000
58886,0-20000
26320,0-20000
26810,0-20000
47126,0-20000
51018,0-20000
14572,20000-50000
55214,0-20000
25540,0-20000
58964,0-20000
24742,0-20000
34349,0-20000
55119,0-20000
717,>1000000
44194,0-20000
44563,0-20000
9518,50000-100000
15659,20000-50000
30533,0-20000
12794,20000-50000
44330,0-20000
2327,200000-500000
50636,0-20000
43514,0-20000
7700,50000-100000
9190,50000-100000
1611,500000-1000000
28511,0-20000
1214,500000-1000000
5921,100000-200000
33329,0-20000
47573,0-20000
48983,0-20000
26355,0-20000
5001,100000-200000
12048,20000-50000
55813,0-20000
41184,0-20000
30041,0-20000
54618,0-20000
58528,0-20000
46215,0-20000
35290,0-20000
5920,100000-200000
25550,0-20000
46006,0-20000
8866,50000-100000
47538,0-20000
26066,0-20000
42691,0-20000
54211,0-20000
14413,20000-50000
44927,0-20000
11636,20000-50000
27786,0-20000
57594,0-20000
44950,0-20000
2245,200000-500000
7746,50000-100000
11383,20000-50000
40227,0-20000
54302,0-20000
45269,0-20000
19876,0-20000
8678,50000-100000
10374,50000-100000
1303,500000-1000000
19107,0-20000
24912,0-20000
46877,0-20000
35140,0-20000
49255,0-20000
25379,0-20000
16346,20000-50000
6679,50000-100000
8127,50000-100000
7431,50000-100000
55190,0-20000
38169,0-20000
46325,0-20000
31939,0-20000
52371,0-20000
9550,50000-100000
53315,0-20000
44118,0-20000
28742,0-20000
28766,0-20000
8467,50000-100000
41015,0-20000
31919,0-20000
19687,0-20000
47087,0-20000
55783,0-20000
58752,0-20000
4874,100000-200000
36893,0-20000
2888,200000-500000
12214,20000-50000
37844,0-20000
43232,0-20000
13727,20000-50000
9188,50000-100000
45978,0-20000
53287,0-20000
48679,0-20000
23946,20000-50000
15493,20000-50000
47100,0-20000
52544,0-20000
40306,0-20000
9588,50000-100000
39633,0-20000
6865,100000-200000
58979,0-20000
35847,0-20000
44491,0-20000
9210,50000-100000
20488,0-20000
14125,20000-50000
36440,0-20000
12287,20000-50000
17610,20000-50000
4054,200000-500000
18525,0-20000
29701,0-20000
41560,0-20000
58142,0-20000
18651,0-20000
20193,0-20000
1360,500000-1000000
6907,50000-100000
39789,0-20000
20719,0-20000
15937,20000-50000
22122,0-20000
27380,0-20000
56643,0-20000
41640,0-20000
24363,0-20000
3052,200000-500000
12278,20000-50000
13969,20000-50000
39661,0-20000
16216,20000-50000
16086,20000-50000
50571,0-20000
55392,0-20000
40007,0-20000
18192,20000-50000
10662,20000-50000
35146,0-20000
40516,0-20000
20500,0-20000
29688,0-20000
2304,200000-500000
28865,0-20000
45377,0-20000
17597,20000-50000
19817,0-20000
50063,0-20000
44848,0-20000
33425,0-20000
22511,0-20000
56485,0-20000
7527,50000-100000
27633,0-20000
16487,20000-50000
11519,20000-50000
11930,20000-50000
44061,0-20000
44417,0-20000
51970,0-20000
23644,0-20000
32941,0-20000
1142,500000-1000000
24671,0-20000
15467,20000-50000
2786,200000-500000
1210,500000-1000000
56467,0-20000
44173,0-20000
39896,0-20000
2743,200000-500000
51434,0-20000
25614,0-20000
34646,0-20000
8180,50000-100000
16124,20000-50000
21070,0-20000
6405,100000-200000
46831,0-20000
15275,20000-50000
14917,20000-50000
30985,0-20000
31399,0-20000
19255,0-20000
46018,0-20000
32199,0-20000
34503,0-20000
41047,0-20000
12223,20000-50000
38003,0-20000
6219,100000-200000
40979,0-20000
36693,0-20000
39184,0-20000
2916,200000-500000
17385,20000-50000
19343,0-20000
55459,0-20000
54516,0-20000
27530,0-20000
28989,0-20000
15210,20000-50000
25023,0-20000
45788,0-20000
25044,0-20000
53694,0-20000
24370,0-20000
16441,20000-50000
17335,20000-50000
53510,0-20000
21340,0-20000
56071,0-20000
29640,0-20000
46690,0-20000
27003,0-20000
10055,50000-100000
41155,0-20000
6930,50000-100000
52301,0-20000
29775,0-20000
2325,200000-500000
41295,0-20000
55096,0-20000
41064,0-20000
14261,20000-50000
22475,0-20000
3753,200000-500000
46865,0-20000
5570,100000-200000
47209,0-20000
41619,0-20000
28956,0-20000
44309,0-20000
14775,20000-50000
14088,20000-50000
56586,0-20000
23929,0-20000
15736,20000-50000
46262,0-20000
31328,0-20000
45631,0-20000
16742,20000-50000
25118,0-20000
51025,0-20000
6527,100000-200000
53344,0-20000
23285,0-20000
22578,0-20000
58150,0-20000
25880,0-20000
11642,20000-50000
2903,200000-500000
56981,0-20000
32081,0-20000
51608,0-20000
11653,20000-50000
53070,0-20000
3556,200000-500000
19023,0-20000
14540,20000-50000
58642,0-20000
51186,0-20000
31024,0-20000
35926,0-20000
48537,0-20000
14844,20000-50000
44090,0-20000
8526,50000-100000
5551,100000-200000
47960,0-20000
26174,0-20000
55838,0-20000
10148,50000-100000
23177,0-20000
28540,0-20000
44356,0-20000
28696,0-20000
10289,50000-100000
22906,0-20000
35930,0-20000
22283,0-20000
44130,0-20000
18414,0-20000
28143,0-20000
55202,0-20000
5105,100000-200000
28772,0-20000
1831,500000-1000000
39098,0-20000
46860,0-20000
40087,0-20000
13206,20000-50000
44427,0-20000
36729,0-20000
37164,0-20000
58318,0-20000
34587,0-20000
8781,50000-100000
34201,0-20000
47653,0-20000
15319,20000-50000
44635,0-20000
3679,200000-500000
25356,0-20000
28582,0-20000
32317,0-20000
53696,0-20000
32363,0-20000
34496,0-20000
26841,0-20000
57968,0-20000
11855,20000-50000
19063,0-20000
49404,0-20000
43887,0-20000
31639,0-20000
39147,0-20000
35968,0-20000
22986,0-20000
57679,0-20000
49641,0-20000
24200,0-20000
35236,0-20000
21154,0-20000
9222,50000-100000
42073,0-20000
16413,20000-50000
25058,0-20000
35711,0-20000
32396,0-20000
38738,0-20000
24218,0-20000
33375,0-20000
16156,20000-50000
26746,0-20000
20480,0-20000
58342,0-20000
5503,100000-200000
51323,0-20000
49108,0-20000
31392,0-20000
11640,20000-50000
29601,0-20000
51413,0-20000
11343,20000-50000
46492,0-20000
16787,20000-50000
53185,0-20000
921,>1000000
40941,0-20000
2037,200000-500000
16666,20000-50000
39039,0-20000
53943,0-20000
38176,0-20000
31233,0-20000
50976,0-20000
43351,0-20000
25790,0-20000
5048,100000-200000
44126,0-20000
30554,0-20000
14030,20000-50000
23671,0-20000
836,>1000000
33376,0-20000
37828,0-20000
38000,0-20000
21658,0-20000
48570,0-20000
4672,100000-200000
13448,20000-50000
6734,500000-1000000
26900,0-20000
44547,0-20000
38007,0-20000
29907,0-20000
21718,0-20000
21599,0-20000
40886,0-20000
35874,0-20000
23232,0-20000
51254,0-20000
13106,20000-50000
21826,0-20000
30523,0-20000
2330,200000-500000
36964,0-20000
47121,0-20000
53833,0-20000
54383,0-20000
538,>1000000
36423,0-20000
53762,0-20000
57643,0-20000
19425,0-20000
42513,0-20000
9026,50000-100000
45774,0-20000
51633,0-20000
26053,0-20000
12565,20000-50000
15243,20000-50000
44064,0-20000
27035,0-20000
20486,0-20000
31350,0-20000
2154,200000-500000
26684,0-20000
12173,20000-50000
13792,20000-50000
28216,0-20000
50729,0-20000
27437,0-20000
39948,0-20000
48034,0-20000
16977,20000-50000
51010,0-20000
19471,0-20000
14719,20000-50000
19265,0-20000
14263,20000-50000
10208,50000-100000
28787,0-20000
37405,0-20000
8588,50000-100000
50459,0-20000
9680,50000-100000
53987,0-20000
6111,100000-200000
4532,100000-200000
11622,20000-50000
50750,0-20000
55759,0-20000
11245,20000-50000
45118,0-20000
11184,20000-50000
58517,0-20000
44690,0-20000
40962,0-20000
18703,0-20000
39177,0-20000
25245,0-20000
17146,20000-50000
36942,0-20000
39604,0-20000
42267,0-20000
52042,0-20000
41716,0-20000
48651,0-20000
40677,0-20000
2870,200000-500000
2481,200000-500000
36026,0-20000
44985,0-20000
44785,0-20000
16549,20000-50000
14460,20000-50000
57196,0-20000
42178,0-20000
12867,0-20000
50839,0-20000
54286,0-20000
11658,20000-50000
12132,20000-50000
1269,500000-1000000
20253,0-20000
54048,0-20000
22887,0-20000
22614,0-20000
22391,0-20000
10358,50000-100000
13856,20000-50000
57023,0-20000
14361,20000-50000
1905,500000-1000000
23659,0-20000
28739,0-20000
41129,0-20000
58095,0-20000
3673,200000-500000
39841,0-20000
15059,20000-50000
28253,0-20000
34662,0-20000
12977,20000-50000
33162,0-20000
26640,0-20000
16259,20000-50000
41587,0-20000
26716,0-20000
22691,0-20000
35865,0-20000
53080,0-20000
8853,50000-100000
41728,0-20000
15950,20000-50000
50613,0-20000
4139,100000-200000
33492,0-20000
2776,200000-500000
20375,0-20000
5223,100000-200000
8931,50000-100000
14218,20000-50000
51229,0-20000
52475,0-20000
29987,0-20000
2402,200000-500000
43414,0-20000
52948,0-20000
14209,20000-50000
9649,50000-100000
55183,0-20000
16784,20000-50000
39500,0-20000
41661,0-20000
37927,0-20000
31987,0-20000
54224,0-20000
16393,20000-50000
6562,100000-200000
7184,50000-100000
42577,0-20000
41721,0-20000
12561,20000-50000
53774,0-20000
45545,0-20000
54275,0-20000
30397,0-20000
45691,0-20000
22285,0-20000
41850,0-20000
15211,20000-50000
29553,0-20000
46525,0-20000
1824,500000-1000000
50511,0-20000
1946,200000-500000
44552,0-20000
11956,20000-50000
34508,0-20000
43312,0-20000
9925,50000-100000
46461,0-20000
1875,500000-1000000
23110,0-20000
42619,0-20000
19836,0-20000
34326,0-20000
44600,0-20000
27466,0-20000
26870,0-20000
50346,0-20000
29882,0-20000
36040,0-20000
55598,0-20000
58695,0-20000
2103,200000-500000
29497,0-20000
20034,0-20000
31486,0-20000
56392,0-20000
46716,0-20000
53771,0-20000
43655,0-20000
10860,20000-50000
41729,0-20000
12862,20000-50000
5167,100000-200000
30594,0-20000
4409,100000-200000
8699,50000-100000
23613,0-20000
47804,0-20000
9814,50000-100000
42958,0-20000
26821,0-20000
39338,0-20000
17060,20000-50000
28151,0-20000
40820,0-20000
57930,0-20000
31347,0-20000
6673,50000-100000
34477,0-20000
8869,50000-100000
31937,0-20000
15540,20000-50000
52361,0-20000
5758,100000-200000
24675,0-20000
14027,20000-50000
42400,0-20000
1317,500000-1000000
36150,0-20000
13726,20000-50000
32001,0-20000
29228,0-20000
49091,0-20000
43588,0-20000
23775,0-20000
47044,0-20000
25987,0-20000
38845,0-20000
34627,0-20000
44288,0-20000
19232,0-20000
26032,0-20000
27013,0-20000
13587,20000-50000
46425,0-20000
47400,0-20000
10585,20000-50000
58453,0-20000
48968,0-20000
54647,0-20000
33620,0-20000
49596,0-20000
18786,0-20000
26115,0-20000
27941,0-20000
39649,0-20000
42316,0-20000
50477,0-20000
41393,0-20000
49501,0-20000
23838,0-20000
18586,0-20000
14918,20000-50000
32459,0-20000
43829,0-20000
3327,200000-500000
4400,100000-200000
40919,0-20000
17040,20000-50000
40215,0-20000
22303,0-20000
37935,0-20000
58873,0-20000
15213,20000-50000
34792,0-20000
14815,20000-50000
21408,0-20000
29851,0-20000
19977,0-20000
20639,0-20000
42944,0-20000
35295,0-20000
7965,50000-100000
49034,0-20000
43095,0-20000
5740,100000-200000
31440,0-20000
30384,0-20000
34462,0-20000
40416,0-20000
29379,0-20000
38192,0-20000
3110,200000-500000
46957,0-20000
47647,0-20000
25788,0-20000
45676,0-20000
18157,20000-50000
27509,0-20000
33131,0-20000
31722,0-20000
34121,0-20000
52004,0-20000
55490,0-20000
3036,200000-500000
9837,50000-100000
40795,0-20000
56595,0-20000
50650,0-20000
25142,0-20000
9893,50000-100000
32838,0-20000
21614,0-20000
32346,0-20000
27477,0-20000
41493,0-20000
32660,0-20000
55007,0-20000
29642,0-20000
22596,0-20000
40797,0-20000
41354,0-20000
23430,0-20000
27218,0-20000
35916,0-20000
57992,0-20000
47724,0-20000
27082,0-20000
21162,0-20000
55723,0-20000
32245,0-20000
58677,0-20000
15120,20000-50000
19832,0-20000
5522,100000-200000
43455,0-20000
12164,20000-50000
54058,0-20000
19901,0-20000
27563,0-20000
29274,0-20000
2663,200000-500000
55054,0-20000
31608,0-20000
50547,0-20000
28600,0-20000
53318,0-20000
36066,0-20000
56098,0-20000
30388,0-20000
38760,0-20000
44668,0-20000
50829,0-20000
11711,20000-50000
46077,0-20000
3355,200000-500000
37826,0-20000
18818,0-20000
51944,0-20000
22482,0-20000
12781,20000-50000
49759,0-20000
11029,20000-50000
1118,500000-1000000
32609,0-20000
38456,0-20000
41935,0-20000
29518,0-20000
45944,0-20000
24035,0-20000
44755,0-20000
29576,0-20000
23142,0-20000
6916,50000-100000
24506,0-20000
18646,0-20000
50012,0-20000
2386,200000-500000
22778,0-20000
7961,50000-100000
31484,0-20000
42138,0-20000
15458,20000-50000
42736,0-20000
3850,200000-500000
12825,20000-50000
28478,0-20000
3892,200000-500000
36033,0-20000
50223,0-20000
9981,50000-100000
6568,100000-200000
39414,0-20000
11279,20000-50000
44497,0-20000
56825,0-20000
41680,0-20000
54347,0-20000
18957,0-20000
7630,50000-100000
8130,50000-100000
33397,0-20000
21097,0-20000
32885,0-20000
21680,0-20000
46780,0-20000
47266,0-20000
10619,20000-50000
30553,0-20000
23469,0-20000
40771,0-20000
19614,0-20000
17100,20000-50000
41455,0-20000
25693,0-20000
28925,0-20000
51295,0-20000
11178,20000-50000
58334,0-20000
32335,0-20000
31848,0-20000
48850,0-20000
10124,50000-100000
8686,50000-100000
34584,0-20000
27049,0-20000
39543,0-20000
29000,0-20000
9098,50000-100000
39669,0-20000
52605,0-20000
49110,0-20000
33565,0-20000
6619,100000-200000
39159,0-20000
18738,0-20000
1089,500000-1000000
34747,0-20000
15953,20000-50000
47568,0-20000
55447,0-20000
18708,0-20000
57588,0-20000
44849,0-20000
6252,100000-200000
34448,0-20000
6313,100000-200000
32320,0-20000
42161,0-20000
43133,0-20000
52135,0-20000
46800,0-20000
25868,0-20000
34507,0-20000
32408,0-20000
30652,0-20000
38461,0-20000
14704,20000-50000
46310,0-20000
